State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.9670972571850807	0.006190725548634098	0.006736845348627426	0.0	0.009780848154977036	0.0011353237700514334	0.0	0.0	0.0	3.1669761745209944E-5	5.040172578108151E-4	9.089327853380626E-6	0.0	0.007357097824711938	0.0011571258205079827
2	0.05302757043458641	0.8843709696841303	0.04275981329655801	0.017038911553515352	0.0027589405814858066	0.0	0.0	0.0	0.0	6.353478272684651E-7	1.684871565481882E-5	0.0	0.0	0.0	2.6310386242162183E-5
3	0.0155479084773997	0.011501351885960335	0.9378704369337295	0.028976399184105703	0.0036134813589640134	3.0549778536117656E-5	0.0	0.0	0.0	4.2111610844786074E-4	3.952317495655658E-4	4.787727207155368E-6	0.0	0.0016005792332174549	3.81575628665581E-5
4	1.144932312032606E-4	0.02051007860554997	0.12335824312028164	0.7722098033210077	0.012721086175248761	0.0	0.0034785917740337365	0.014004690523274617	0.0	0.0496310703553001	0.003962040789749212	0.0	0.0	0.0	9.90210435088223E-6
5	0.15367458105216988	0.004269818535413654	0.025573689052983316	0.021801226021387864	0.7296316562803002	0.004359152161401967	0.024767894496712867	0.03226651472496101	0.0011812508537397419	6.879104556495898E-4	0.0	0.0	0.0	0.0	0.0017863063652798132
6	0.0033130675241542654	0.0	4.792363216389797E-5	0.0	7.853926334923726E-5	0.6724484677445629	0.06352014304982402	0.0	7.31735816234152E-4	0.0	0.020932169770616613	4.0410555146606843E-4	0.0020971237411661326	0.23030444816122056	0.006122275745242077
7	0.0	0.0	0.0	0.0019509456578657098	0.014417617181137005	0.14929169874641743	0.6343602674529862	0.12688385819163572	0.0	0.0	0.0	0.0	0.0	0.07118188630367633	0.0019137264662815545
8	0.0	0.0	0.0	0.024089383733725052	0.03326543239337101	0.01170418908231983	0.2346243379983815	0.6690813950091915	0.01865072168990129	0.0014832089492023749	0.005967250261521738	0.0	0.0	0.0	0.001134080882385752
9	0.0	0.0	0.0	0.0	0.0014650480488955866	0.00472660733656307	0.0	0.02872203357086519	0.6922075960143539	0.10223648473961336	0.16330935471224473	0.0	0.0	0.006292704065815898	0.0010401715116481489
10	7.463138880933057E-4	0.0	0.0026090187981462993	0.07637431760623303	0.0	0.0	0.0	0.001486240264692391	0.0581882548106144	0.8321442090651296	0.028370869706639067	0.0	0.0	2.3459091829752224E-5	5.7316768622114745E-5
11	0.00463689593412581	0.0	0.0015475093240934152	0.0029501443071467026	0.006389140405446856	0.07097726180877101	0.0	0.004656248141283344	0.08082399683416515	0.024854659572864663	0.6887310594221782	0.007649442529581449	0.0028569256751721354	0.09256460986700202	0.011362106178169311
12	3.521094190344019E-4	0.0	0.0	0.0	0.0	0.004105375685938852	0.0	3.113671619660424E-5	0.0	0.0	0.022266812998994644	0.7762602935024396	0.19576900546779588	0.0	0.0012152662095999576
13	0.0	0.0	0.0	0.0	0.0	0.0010784631161112536	0.0	0.0	0.0	3.455574005936004E-7	4.7586012199393203E-4	0.00865391447963195	0.9491885057024402	0.03748130754986073	0.0031216034725614363
14	6.818089334246375E-4	0.0	7.006769202595982E-5	0.0	3.5531451703918586E-7	0.00637822880810799	8.276393408264967E-4	0.0	2.3606066200471097E-5	6.33183115743825E-7	7.189186253250893E-4	0.0	0.001957323537554542	0.9854056372589409	0.003935781239960957
15	0.013933870149399027	1.4534852702489124E-4	3.499845818102775E-4	0.0	0.0013409707286940666	0.0240463837027758	0.0028548582005342607	6.756770788336637E-4	4.291675339797504E-4	0.0	0.012854069264340011	3.770586912907251E-4	0.021401668187221428	0.5321868401084195	0.38940410324567687
